model,name,family,layer,shape,beta,p,N,Dstrict,DTW2,n_spikes,spike_energy,boot_p_TW,degenerate
bert-large-uncased,encoder.layer.11.attention.output.dense.weight,attn_out,11,"(1024, 1024)",1.0,1024,1024,0.06395078657905257,0.08338817890819933,36,0.18665746027397065,0.004975124378109453,False
bert-large-uncased,encoder.layer.12.attention.self.query.weight,attn_qkv,12,"(1024, 1024)",1.0,1024,1024,0.14420403192161763,0.17557139817157164,54,0.37416413350038036,0.004975124378109453,False
bert-large-uncased,encoder.layer.12.attention.self.key.weight,attn_qkv,12,"(1024, 1024)",1.0,1024,1024,0.14457000093878497,0.1697027460226314,44,0.3547212653266167,0.004975124378109453,False
bert-large-uncased,encoder.layer.12.attention.self.value.weight,attn_qkv,12,"(1024, 1024)",1.0,1024,1024,0.08179954992082306,0.10694492591460641,46,0.23665051089902886,0.004975124378109453,False
bert-large-uncased,encoder.layer.12.attention.output.dense.weight,attn_out,12,"(1024, 1024)",1.0,1024,1024,0.05981641803311366,0.07384477455764527,32,0.14830876104830193,0.004975124378109453,False
bert-large-uncased,encoder.layer.13.attention.self.query.weight,attn_qkv,13,"(1024, 1024)",1.0,1024,1024,0.15248787002062691,0.1852987308970364,55,0.3874662362540613,0.004975124378109453,False
bert-large-uncased,encoder.layer.13.attention.self.key.weight,attn_qkv,13,"(1024, 1024)",1.0,1024,1024,0.1589503429415089,0.18765582982321027,47,0.3974071145749381,0.004975124378109453,False
bert-large-uncased,encoder.layer.13.attention.self.value.weight,attn_qkv,13,"(1024, 1024)",1.0,1024,1024,0.06919373769170212,0.09038362253277177,41,0.2043108111757704,0.004975124378109453,False
bert-large-uncased,encoder.layer.13.attention.output.dense.weight,attn_out,13,"(1024, 1024)",1.0,1024,1024,0.04834840338660701,0.05604870074670748,21,0.093303160484593,0.004975124378109453,False
bert-large-uncased,encoder.layer.14.attention.self.query.weight,attn_qkv,14,"(1024, 1024)",1.0,1024,1024,0.12598681789070998,0.15623838105864546,52,0.3339855528106502,0.004975124378109453,False
bert-large-uncased,encoder.layer.14.attention.self.key.weight,attn_qkv,14,"(1024, 1024)",1.0,1024,1024,0.12410774336534142,0.14884151812973379,43,0.31596837551893825,0.004975124378109453,False
bert-large-uncased,encoder.layer.14.attention.self.value.weight,attn_qkv,14,"(1024, 1024)",1.0,1024,1024,0.08001558370140083,0.10593181061270196,47,0.24437197324180954,0.004975124378109453,False
