model,name,family,beta,n_spikes_naive,n_spikes_bbp,near_edge,Espike_naive,Espike_bbp
bert-large-uncased,encoder.layer.3.attention.self.query.weight,attn_qkv,1.0,46,45,1,0.3425,0.3385
bert-large-uncased,encoder.layer.3.attention.self.key.weight,attn_qkv,1.0,54,53,1,0.3862,0.3822
bert-large-uncased,encoder.layer.3.attention.self.value.weight,attn_qkv,1.0,50,48,2,0.288,0.2801
bert-large-uncased,encoder.layer.3.attention.output.dense.weight,attn_out,1.0,48,47,1,0.2654,0.2615
bert-large-uncased,encoder.layer.3.intermediate.dense.weight,ffn_intermediate,0.25,69,69,0,0.251,0.251
bert-large-uncased,encoder.layer.3.output.dense.weight,ffn_output,0.25,61,60,1,0.1943,0.1921
bert-large-uncased,encoder.layer.4.attention.self.query.weight,attn_qkv,1.0,49,48,1,0.3191,0.3152
bert-large-uncased,encoder.layer.4.attention.self.key.weight,attn_qkv,1.0,55,55,0,0.3629,0.3629
bert-large-uncased,encoder.layer.4.attention.self.value.weight,attn_qkv,1.0,46,45,1,0.2625,0.2586
bert-large-uncased,encoder.layer.4.attention.output.dense.weight,attn_out,1.0,47,46,1,0.2547,0.2508
bert-large-uncased,encoder.layer.4.intermediate.dense.weight,ffn_intermediate,0.25,65,63,2,0.2315,0.2271
bert-large-uncased,encoder.layer.4.output.dense.weight,ffn_output,0.25,60,59,1,0.193,0.1908
bert-large-uncased,encoder.layer.5.attention.self.query.weight,attn_qkv,1.0,44,44,0,0.291,0.291
bert-large-uncased,encoder.layer.5.attention.self.key.weight,attn_qkv,1.0,50,49,1,0.3375,0.3336
bert-large-uncased,encoder.layer.5.attention.self.value.weight,attn_qkv,1.0,53,53,0,0.3153,0.3153
bert-large-uncased,encoder.layer.5.attention.output.dense.weight,attn_out,1.0,49,48,1,0.2733,0.2694
bert-large-uncased,encoder.layer.5.intermediate.dense.weight,ffn_intermediate,0.25,60,60,0,0.2138,0.2138
bert-large-uncased,encoder.layer.5.output.dense.weight,ffn_output,0.25,65,64,1,0.1953,0.1931
bert-large-uncased,encoder.layer.6.attention.self.query.weight,attn_qkv,1.0,39,38,1,0.2558,0.2518
bert-large-uncased,encoder.layer.6.attention.self.key.weight,attn_qkv,1.0,50,50,0,0.3305,0.3305
bert-large-uncased,encoder.layer.6.attention.self.value.weight,attn_qkv,1.0,48,48,0,0.2742,0.2742
bert-large-uncased,encoder.layer.6.attention.output.dense.weight,attn_out,1.0,50,50,0,0.2727,0.2727
bert-large-uncased,encoder.layer.6.intermediate.dense.weight,ffn_intermediate,0.25,63,63,0,0.2058,0.2058
bert-large-uncased,encoder.layer.6.output.dense.weight,ffn_output,0.25,68,67,1,0.1978,0.1956
bert-large-uncased,encoder.layer.7.attention.self.query.weight,attn_qkv,1.0,40,39,1,0.2384,0.2345
bert-large-uncased,encoder.layer.7.attention.self.key.weight,attn_qkv,1.0,50,49,1,0.3093,0.3054
